neuron,acc_with_bias,final_int,q1_6,vhdl_raw,diff,pct_diff
0,23751,371,127,0,23751,nan
1,7363,115,115,9632,-2269,-23.556893687707642
2,10130,158,127,0,10130,nan
3,5857,92,92,0,5857,nan
4,-13391,-210,0,0,-13391,nan
5,4802,75,75,31804,-27002,-84.90127028046787
6,-40475,-633,0,0,-40475,nan
7,-2629,-42,0,0,-2629,nan
8,9250,145,127,0,9250,nan
9,20852,326,127,0,20852,nan
10,13931,218,127,319,13612,4267.084639498433
11,-26067,-408,0,25736,-51803,-201.28613615169414
12,-11469,-180,0,0,-11469,nan
13,-19324,-303,0,0,-19324,nan
14,-45482,-712,0,27571,-73053,-264.9631859562584
15,-23149,-363,0,771,-23920,-3102.4643320363166
16,-15807,-248,0,0,-15807,nan
17,-1202,-20,0,0,-1202,nan
18,-3796,-60,0,0,-3796,nan
19,-2133,-34,0,0,-2133,nan
20,14100,220,127,898,13202,1470.1559020044544
21,-17607,-276,0,0,-17607,nan
22,-2334,-37,0,0,-2334,nan
23,-19135,-300,0,0,-19135,nan
24,12513,196,127,0,12513,nan
25,-3297,-53,0,0,-3297,nan
26,-7500,-118,0,0,-7500,nan
27,-13017,-204,0,0,-13017,nan
28,-413,-7,0,0,-413,nan
29,-1883,-30,0,0,-1883,nan
30,-18363,-288,0,0,-18363,nan
31,16414,256,127,0,16414,nan
32,11749,184,127,17610,-5861,-33.28222600795003
33,-28209,-442,0,0,-28209,nan
34,4480,70,70,0,4480,nan
35,7461,117,117,4447,3014,67.77602878344952
36,18268,285,127,0,18268,nan
37,-13413,-211,0,702,-14115,-2010.6837606837607
38,-50920,-797,0,0,-50920,nan
39,-16038,-252,0,0,-16038,nan
40,-29058,-455,0,23654,-52712,-222.8460302697218
41,-22020,-345,0,0,-22020,nan
42,-2175,-35,0,641,-2816,-439.31357254290174
43,-25425,-398,0,0,-25425,nan
44,-37633,-589,0,0,-37633,nan
45,10722,168,127,0,10722,nan
46,2638,41,41,0,2638,nan
47,-5621,-89,0,5831,-11452,-196.3985594237695
48,-13164,-207,0,15339,-28503,-185.82045765695287
49,40245,629,127,6519,33726,517.3492867004142
50,-40625,-636,0,30277,-70902,-234.17775869471876
51,12931,202,127,0,12931,nan
52,-41911,-656,0,0,-41911,nan
53,-41995,-657,0,21282,-63277,-297.3263790997087
54,4190,65,65,0,4190,nan
55,-5540,-88,0,0,-5540,nan
56,-9128,-144,0,26800,-35928,-134.05970149253733
57,-20994,-329,0,2128,-23122,-1086.5601503759399
58,-10440,-164,0,0,-10440,nan
59,19998,312,127,16959,3039,17.919688660888024
60,-20007,-314,0,8358,-28365,-339.3754486719311
61,-4522,-72,0,26639,-31161,-116.97511167836629
62,-15675,-246,0,0,-15675,nan
63,-17013,-267,0,7882,-24895,-315.8462319208323
