neuron,acc,final_int,q1_6,vhdl_raw
0,-17077,-268,0,0
1,-15675,-246,0,9632
2,-4522,-72,0,0
3,-20199,-317,0,0
4,19870,310,127,0
5,-10376,-163,0,31804
6,-21058,-330,0,0
7,-9128,-144,0,0
8,-5540,-88,0,0
9,4254,66,66,0
10,-41995,-657,0,319
11,-41783,-654,0,25736
12,12931,202,127,0
13,-40625,-636,0,0
14,40245,629,127,27571
15,-13164,-207,0,771
16,-5621,-89,0,0
17,2574,40,40,0
18,10722,168,127,0
19,-37569,-588,0,0
20,-25425,-398,0,898
21,-2175,-35,0,0
22,-22020,-345,0,0
23,-28994,-454,0,0
24,-16038,-252,0,0
25,-50856,-796,0,0
26,-13477,-212,0,0
27,18396,287,127,0
28,7397,116,116,0
29,4416,69,69,0
30,-28273,-443,0,0
31,11877,186,127,0
32,16286,254,127,17610
33,-18299,-287,0,0
34,-1819,-29,0,0
35,-349,-6,0,4447
36,-13145,-206,0,0
37,-7436,-117,0,702
38,-3361,-54,0,0
39,12513,196,127,0
40,-19199,-301,0,23654
41,-2334,-37,0,0
42,-17607,-276,0,641
43,14100,220,127,0
44,-2197,-35,0,0
45,-3796,-60,0,0
46,-1138,-19,0,0
47,-15807,-248,0,5831
48,-23149,-363,0,15339
49,-45482,-712,0,6519
50,-19324,-303,0,30277
51,-11469,-180,0,0
52,-26195,-410,0,0
53,13931,218,127,21282
54,20788,325,127,0
55,9250,145,127,0
56,-2629,-42,0,26800
57,-40411,-632,0,2128
58,4738,74,74,0
59,-13263,-208,0,16959
60,6049,95,95,8358
61,10130,158,127,26639
62,7363,115,115,0
63,23815,372,127,7882
